CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|23,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|23|1,aspicio,main,main,25,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24|3,praefulgeo,main,main,11,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24|12,cano,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25|4,succendo,main,main,11,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25|14,succendo,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|26,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|26|15,succendo,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|27,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|27|4,traho,main,main,10,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|28,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|28|3,adsum,main,main,12,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|28,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|28|10,sum,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|29,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|29|8,sum,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|30,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|30|3,nunc,temporal,para,9,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|30,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|30|4,vereor,main,main,9,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|31,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|31|9,sum,main,main,8,4393
